IntegrationTime,velocity_phy0,velocity_phy1,velocity_phy2,Points0,Points1,Points2
0.0,-2.5766572e-05,0.00012715757,0.00019615144,528.8444,62.12693,515.10785
4252.1113,5.9781305e-05,0.00014663691,0.0001886972,528.8993,62.68212,515.93774
8311.561,0.00011422041,0.000117458214,0.000103381804,529.3369,63.284885,516.605
13473.4375,0.00017339054,0.0001011795,4.7001664e-05,530.07794,63.83696,516.9872
18323.537,0.00018901369,6.681701e-05,-4.3037424e-05,530.9654,64.2958,517.03046
23200.547,0.00022685328,6.696904e-05,-0.00011896939,531.86633,64.56549,516.69037
26977.469,0.00051669974,-3.559528e-05,-0.00043930553,532.64,64.625015,516.05963
28449.914,0.0011109723,6.792291e-05,-0.0010011173,533.35406,64.542175,515.36444
29117.9,0.0015587573,-7.4185715e-05,-0.001477528,534.0899,64.55547,514.68744
29583.229,0.0026518062,-5.3341955e-05,-0.0028177109,534.7629,64.50154,513.9497
29841.648,0.0021125693,-7.94341e-05,-0.0035264192,535.39185,64.51472,513.1724
30084.865,0.00067255145,0.0010709289,-0.0037256693,535.84467,64.66017,512.2928
30339.03,-0.0011102487,0.0008755425,-0.011864081,535.32,64.92783,511.48462
30422.727,-0.010738463,-0.0033940405,-0.014311189,534.9697,64.92383,510.54797
30477.637,-0.017002527,-0.018716834,-0.027448548,534.45886,64.57973,509.7602
30504.432,-0.010359469,-0.045922995,-0.045716465,534.1207,64.00529,509.01474
30519.672,0.013951235,-0.12408763,-0.09658152,534.1049,63.204247,508.41635
0.0,4.5648463e-05,0.00014822796,0.00019038377,528.7684,62.933186,515.51263
4072.2712,0.00010357238,0.00012529366,0.00011488894,529.10065,63.578255,516.20074
9095.861,0.00016434194,9.298536e-05,4.752459e-05,529.7979,64.138336,516.6481
14231.627,0.00017651831,7.478815e-05,-2.216357e-05,530.67755,64.60296,516.75006
19413.377,0.0003396988,7.019098e-05,-0.00014726252,531.5971,64.82003,516.4226
22067.023,0.00035151548,-4.7577414e-05,-0.00030913472,532.4425,64.927536,515.8993
