IntegrationTime,velocity_phy0,velocity_phy1,velocity_phy2,Points0,Points1,Points2
0.0,2.5017948e-09,1.9579964e-07,-1.9486963e-07,526.7898,214.08383,907.1253
3619817.8,-3.248132e-08,1.5097443e-06,-1.6201915e-06,526.77734,214.73851,906.3695
4071322.8,-1.5361556e-07,3.2845223e-06,-3.1171735e-06,526.7498,215.44356,905.6609
4292032.5,-2.9822968e-07,5.2218284e-06,-4.5727684e-06,526.7096,216.18651,904.99274
4435971.0,-4.5789122e-07,7.154329e-06,-6.177269e-06,526.6645,216.94121,904.3382
4541643.0,-6.073032e-07,9.148843e-06,-7.706398e-06,526.61444,217.70259,903.69183
4625133.5,-7.8334267e-07,1.1239332e-05,-9.361115e-06,526.5624,218.46666,903.0488
4693402.0,-8.7404624e-07,1.3128055e-05,-1.0777772e-05,526.51025,219.23795,902.4145
4752198.0,-1.0519528e-06,1.503627e-05,-1.2385976e-05,526.4584,220.00955,901.7805
4803456.0,-1.2791091e-06,1.6524258e-05,-1.3634178e-05,526.4016,220.78014,901.1457
4850051.5,-1.4373531e-06,1.8837889e-05,-1.5535852e-05,526.3404,221.5505,900.51105
4890934.5,-1.2097812e-06,2.061939e-05,-1.7183127e-05,526.28687,222.31973,899.8743
4928154.0,-1.0099184e-06,2.2767115e-05,-1.902566e-05,526.2527,223.08664,899.23346
4961838.5,-2.7655497e-06,2.507248e-05,-2.0646317e-05,526.1963,223.85349,898.5941
4992516.0,-3.024669e-06,2.6775362e-05,-2.1504933e-05,526.10345,224.6288,897.9694
5021522.5,-2.6822179e-06,2.8544944e-05,-2.3468156e-05,526.02515,225.40079,897.3386
5048512.5,-3.0856884e-06,3.0742267e-05,-2.4694838e-05,525.95135,226.17778,896.71344
5073795.0,-3.0972421e-06,3.240761e-05,-2.6570324e-05,525.8728,226.95071,896.0838
5097592.5,-3.392273e-06,3.4866374e-05,-2.8359878e-05,525.8038,227.72469,895.4544
5119779.0,-3.9578003e-06,3.8271977e-05,-3.083389e-05,525.7194,228.496,894.82355
5140060.5,-2.3554962e-06,4.075732e-05,-3.214253e-05,525.65735,229.27939,894.20514
