IntegrationTime,velocity_scaled0,velocity_scaled1,velocity_scaled2,Points0,Points1,Points2
0.0,-2133.5535,-1644.8616,2549.359,3656.5986,8595.218,8385.986
0.008088384,-3347.0742,-2138.4167,3508.0308,3640.1794,8583.395,8408.137
0.013749566,-2775.2388,-1787.3038,2418.5886,3619.2375,8570.538,8425.345
0.021080613,-3576.7542,-2091.2634,3850.189,3601.2454,8557.561,8445.541
0.0263847,-3473.261,-2109.6658,2856.946,3580.2246,8545.554,8463.26
0.0,-190.5457,-77.07891,-63.89927,3668.1218,8649.413,8330.944
0.0,-1407.2908,-1056.7737,803.21466,3686.464,8656.385,8335.128
0.015507673,-144.31345,-1199.9415,2087.898,3676.0076,8639.73,8357.784
0.02794307,-2051.2412,-1965.7297,2710.7717,3665.9292,8624.479,8381.57
0.035582826,-2614.7654,-1476.7278,2866.8474,3648.2778,8611.311,8401.943
0.042808797,-3347.4736,-2207.0393,3027.2898,3629.008,8598.752,8421.203
0.048780072,-2781.481,-2019.5642,2902.7295,3609.4705,8584.821,8439.209
0.0,-1189.8176,-2299.352,4307.891,3684.0293,8631.556,8347.608
0.0059689693,-4428.906,-3930.8948,6578.176,3675.267,8617.225,8372.465
0.009358431,-5529.275,-3852.6013,6568.291,3658.2473,8603.76,8393.178
0.012546353,-7529.631,-4897.65,7358.352,3640.6848,8592.16,8414.556
0.015129992,-6593.455,-4714.843,6230.1094,3620.005,8579.224,8432.02
0.01806444,-8385.707,-4817.33,8261.758,3601.7485,8566.92,8452.398
0.02042304,-7812.9854,-5023.9907,6581.734,3580.5254,8554.818,8469.81
0.023058247,-8702.045,-7183.579,7811.8296,3560.3486,8540.338,8486.638
0.025244163,-7745.837,-6840.809,7646.1123,3542.3948,8525.8955,8505.85
0.027577838,-6615.4756,-5921.58,4834.752,3522.8281,8508.905,8520.966
0.03054531,-4612.681,-5901.961,5124.5034,3505.317,8489.418,8535.581
0.033850797,-4175.1553,-5540.3335,4356.913,3489.2876,8470.348,8552.296
0.037512876,-3656.6812,-7000.709,4577.8794,3476.7358,8448.662,8568.793
0.040799115,-4880.159,-7206.7812,6304.46,3465.5178,8425.529,8584.254
0.043590568,-6425.46,-5917.181,5966.348,3448.8948,8407.997,8602.038
0.04642661,-6273.9404,-5629.6943,5389.196,3430.6091,8390.723,8618.387
0.04942512,-5197.0376,-4990.4673,6062.391,3412.8572,8374.331,8636.167
0.05261109,-5797.7046,-5526.734,5682.239,3396.4082,8358.031,8655.24
0.05566586,-4972.1567,-4995.1294,4617.6685,3377.3462,8340.971,8670.91
0.059226297,-5054.8306,-4923.736,5170.876,3360.5195,8323.311,8688.375
0.06265554,-5045.33,-5560.659,4489.0215,3341.9292,8307.01,8705.365
0.06608489,-5077.893,-6703.0137,3862.622,3325.0361,8286.08,8718.652
0.06932676,-5361.3145,-8270.229,4729.469,3310.461,8262.862,8730.84
0.072071,-9089.304,-8485.699,6900.727,3294.1484,8241.872,8744.743
0.07418053,-11770.215,-5567.268,3510.9885,3272.0933,8225.366,8756.622
0.07640513,-8759.852,-3946.5095,2534.8503,3245.4011,8214.07,8764.365
0.079424284,-12697.822,-6213.2056,1668.3229,3218.5806,8201.4795,8769.067
0.08153184,-15980.606,-5610.6294,1043.3649,3192.3315,8187.3433,8772.407
0.0,-103.05005,-776.045,1483.462,3674.73,8638.209,8349.627
0.017885286,-2675.638,-2493.6077,3764.943,3670.3953,8623.032,8375.14
0.02360067,-3171.6174,-2162.7878,3797.7622,3653.5212,8609.326,8395.813
0.029156243,-4272.912,-3015.9114,4153.269,3634.9373,8598.136,8416.535
0.03364823,-3293.2314,-2554.0366,3262.3848,3614.3276,8584.958,8433.902
0.03931652,-4671.8394,-2491.424,4418.3965,3596.311,8573.752,8455.111
0.043666836,-4018.2195,-2553.585,3216.63,3574.6052,8561.671,8471.931
0.04888809,-2915.6514,-2397.2996,2841.357,3555.396,8546.168,8488.9795
0.0552379,-4212.451,-3501.2551,4108.849,3536.6157,8532.265,8507.794
0.05961916,-3226.5403,-3000.9468,2456.4324,3516.929,8515.322,8522.808
0.06556584,-2593.408,-3252.7502,3037.928,3500.2673,8495.273,8537.655
0.0713897,-2020.4905,-2679.6975,2163.2947,3483.6099,8476.296,8553.853
0.078903094,-1618.4408,-3232.5776,2111.838,3470.629,8454.79,8570.254
0.08606858,-3232.3613,-4690.038,4173.943,3462.205,8430.638,8585.928
0.09031689,-4256.1357,-3654.7244,3761.5789,3445.0405,8413.512,8603.594
0.09475848,-4269.3467,-3956.52,3676.4114,3426.9265,8396.147,8620.037
0.09911605,-3664.7734,-3243.6318,4194.4297,3409.0522,8380.033,8637.949
0.10377043,-4106.4233,-3987.243,4061.6804,3392.4756,8363.971,8657.112
0.1080449,-3047.5684,-3205.7202,2946.7861,3373.2656,8346.93,8672.622
0.113689445,-3558.8748,-3459.2595,3630.4233,3356.885,8329.469,8690.699
0.11856817,-3065.256,-3236.0251,2667.0796,3337.558,8313.238,8706.918
0.1243437,-3346.2578,-4514.277,2518.8547,3321.2327,8291.868,8720.216
0.12921543,-3914.378,-6111.7866,3539.787,3307.749,8268.303,8732.976
0.13293058,-9201.492,-8163.665,6677.676,3292.7131,8246.209,8746.606
0.13507396,-10898.581,-5043.7754,3254.8972,3270.4524,8230.368,8758.998
0.13748507,-6446.4805,-2885.2737,1734.2224,3243.5176,8219.427,8766.4
0.14161019,-10068.722,-4966.305,1279.9786,3216.7795,8206.658,8771.095
0.14426515,-13485.225,-5430.272,686.7581,3191.1096,8191.5137,8774.516
