IntegrationTime,velocity_scaled0,velocity_scaled1,velocity_scaled2,Points0,Points1,Points2
0.0,-3744.1807,-2870.9343,2432.7349,3720.6711,8493.573,12058.396
0.0056513962,-4450.0044,-3662.7896,2622.9192,3698.7783,8478.22,12071.997
0.010388996,-4041.6497,-3226.0623,2343.3064,3678.1018,8460.397,12084.44
0.015673054,-3742.656,-3131.9685,2004.6323,3656.7239,8442.572,12095.633
0.021359274,-3446.041,-2861.4807,1577.0575,3635.3486,8424.395,12106.246
0.027676761,-2977.7695,-2644.5732,1004.7627,3613.9626,8405.46,12115.419
0.034980718,-3303.9224,-2815.9978,416.71783,3591.1677,8386.89,12121.38
0.04185968,-3107.3442,-2832.361,-738.2461,3568.6697,8367.125,12119.592
0.048887376,-3279.9082,-3033.6814,-1642.7949,3547.255,8347.823,12111.296
0.05518959,-3526.5334,-3399.2073,-2191.0994,3526.8171,8329.327,12099.456
0.06078054,-3485.9778,-3290.9636,-2615.1167,3508.0022,8310.103,12086.174
0.06627415,-4367.83,-4320.8906,-3316.0476,3488.1575,8291.961,12072.866
0.070571095,-3809.902,-4388.7476,-3083.7014,3471.5996,8271.836,12058.006
0.07513093,-3941.7961,-4561.964,-3113.2773,3454.2783,8251.585,12044.227
0.07955218,-4036.4036,-4626.922,-3739.856,3436.478,8232.259,12029.747
0.08372499,-4478.5244,-5791.205,-4357.352,3419.007,8213.12,12014.632
0.08724633,-3892.7188,-5382.2944,-3692.0464,3403.9963,8192.164,11999.285
0.091193914,-4394.1216,-5457.6006,-4225.3345,3387.5823,8171.698,11984.734
0.09486045,-3419.8105,-5655.4185,-4437.177,3371.9832,8151.4155,11969.073
0.09862912,-4692.8633,-6187.2417,-4283.3945,3356.8975,8130.193,11954.173
0.10201183,-5061.244,-6611.319,-4825.3594,3340.59,8109.5273,11939.785
0.105129234,-4507.7896,-5815.274,-4249.449,3325.3362,8089.226,11923.811
0.10865998,-3636.8396,-5320.134,-3318.507,3311.0786,8067.9136,11908.238
0.11279868,-2857.149,-4033.5452,-2377.155,3296.9995,8044.975,11894.987
0.11826829,-2866.2324,-3530.5647,-2461.4717,3280.077,8023.771,11882.181
0.1240699,-2604.0327,-3203.0159,-2084.8145,3262.6013,8003.8457,11868.123
0.13055697,-2574.5876,-2880.2017,-1634.7379,3244.008,7983.8745,11855.656
0.13770866,-2165.024,-2246.139,-1435.4545,3225.1047,7963.929,11843.62
0.14644459,-1845.6246,-1842.7651,-1176.9116,3206.0786,7944.3267,11831.221
0.15692921,-1798.1152,-1244.2994,-767.14844,3185.8445,7925.3955,11819.724
0.0,-57.36984,80.11092,-103.4583,3656.524,8737.806,11916.059
0.20997678,-16.353342,48.870476,-54.59817,3645.6045,8754.94,11893.986
0.6095609,19.448832,19.344711,-18.031647,3647.1511,8775.727,11872.41
1.5234413,52.231724,5.949874,8.792559,3675.1545,8784.571,11866.279
2.0862958,93.531685,-13.621386,48.785267,3702.7876,8782.647,11877.799
2.368341,68.724335,-34.897903,71.17659,3727.7854,8777.041,11893.409
2.6542888,38.539234,-43.381836,66.41575,3701.5208,8765.257,11901.854
2.994445,-73.9783,16.772087,-50.838108,3679.8901,8748.301,11913.878
3.3229747,84.932045,52.67274,-29.951475,3676.8625,8767.743,11891.232
3.610521,103.54185,-31.071915,75.36634,3706.1064,8771.683,11896.643
3.83817,-147.2803,-107.86442,62.296684,3691.544,8753.192,11915.245
3.993698,-49.759693,97.84807,-125.053764,3662.917,8745.405,11910.789
4.173987,34.588383,58.189316,-52.192112,3660.6047,8765.421,11888.5625
4.5249577,104.99773,12.076323,21.07085,3686.4146,8778.81,11881.174
4.8033285,119.20229,-33.620632,85.50766,3713.6924,8776.249,11893.395
5.0026603,-337.97824,-262.42773,179.90349,3706.0625,8758.054,11915.993
5.0672903,-275.64514,-242.59587,138.46927,3684.762,8740.265,11927.388
5.143736,-37.876694,33.467075,-59.947304,3659.8418,8723.806,11930.236
5.526333,-37.814686,43.208874,-59.455673,3647.5085,8741.177,11909.113
5.8892846,-10.481597,24.127235,-26.48059,3635.1614,8758.681,11888.11
6.6930203,7.265055,8.741721,-10.406943,3634.7256,8778.71,11865.779
8.639665,20.386084,2.1197333,0.56323874,3660.0876,8788.061,11852.768
10.102813,39.795803,-4.171712,17.930498,3688.5771,8787.981,11862.167
10.787001,66.75944,-15.419824,41.576603,3713.6394,8782.917,11877.858
11.161323,10.2558775,-25.184841,42.925137,3737.3757,8776.164,11894.917
