IntegrationTime,velocity_scaled0,velocity_scaled1,velocity_scaled2,Points0,Points1,Points2
0.0,-7724.542,-6373.263,14975.465,3396.711,8329.118,12416.245
0.0016652498,-7035.8247,-5279.5,14653.238,3383.9912,8318.98,12441.453
0.0034205865,-6296.1284,-4450.9385,15739.172,3372.5444,8310.456,12467.841
0.005132293,-6003.377,-4044.78,17768.77,3362.4192,8304.11,12495.358
0.006695875,-5703.3643,-4117.7847,19327.361,3353.6152,8298.379,12523.459
0.0081544705,-5446.364,-2533.6587,21274.303,3345.8066,8293.79,12552.059
0.009511564,-5838.0425,-4553.198,23978.613,3338.634,8289.832,12580.919
0.010706994,-7345.719,-6067.0513,25776.521,3331.0957,8284.257,12609.416
0.011798663,-8280.558,-7989.9067,27150.816,3322.8071,8277.919,12637.543
0.012816007,-9080.024,-8675.857,25484.229,3313.976,8268.863,12664.746
0.013871951,-9595.984,-9206.239,25354.348,3303.9868,8259.643,12691.489
0.014919801,-9438.323,-8849.491,24337.092,3294.219,8249.597,12718.016
0.016008237,-9691.367,-8083.896,24751.629,3283.8025,8240.295,12744.567
0.01708802,-10105.679,-8861.259,24390.924,3273.3477,8230.952,12771.089
0.01816526,-10752.443,-9321.456,23958.434,3261.8367,8221.51,12797.134
0.019241843,-11908.363,-8801.088,22654.37,3249.7832,8211.745,12822.8125
0.020350305,-13002.182,-8564.286,18993.414,3235.3435,8201.59,12847.068
0.021571843,-13559.546,-6360.383,14238.396,3217.7012,8191.355,12869.068
0.023023564,-14228.572,-4588.423,10701.057,3196.2583,8183.345,12888.46
0.0,-3283.1624,-1736.4393,4261.691,3492.3867,8381.018,12410.221
0.0053069186,-3100.4087,-1951.9723,4521.4272,3476.164,8371.063,12433.41
0.010462042,-2667.2305,-1976.439,4252.9487,3461.8276,8360.414,12457.515
0.016022557,-2390.3442,-1730.5557,3997.1104,3448.508,8348.775,12481.746
0.022060663,-2172.9622,-1503.8787,4367.796,3435.52,8338.919,12506.929
0.02793725,-2039.9005,-1210.6101,4474.589,3423.4626,8329.878,12532.868
0.03386089,-1869.8127,-1332.1365,5025.371,3411.759,8322.193,12559.4
0.039290793,-1584.3422,-1073.5021,5036.6367,3402.1665,8315.852,12587.109
0.0,-12863.249,-7402.536,22553.09,3405.6838,8425.853,12315.691
0.0011111853,-12908.3125,-8158.3286,24479.348,3391.8767,8417.601,12341.015
0.002150985,-13356.565,-9638.831,26211.896,3378.7417,8408.73,12366.486
0.0031200545,-13816.7295,-11107.469,27378.764,3365.9316,8398.919,12391.777
0.004039818,-14234.078,-12093.65,28684.854,3353.3225,8388.424,12416.895
0.0049162447,-13196.518,-11428.657,29078.174,3341.1125,8377.944,12442.214
0.00580078,-11862.265,-10265.416,31264.414,3330.1743,8368.4375,12468.481
0.0066584283,-10839.678,-9343.323,33962.61,3320.7214,8360.293,12495.764
0.00747244,-9831.617,-8834.36,36693.22,3312.5176,8353.145,12523.721
0.008241646,-8867.229,-8916.168,39822.664,3305.596,8346.612,12552.171
0.008960022,-8934.326,-10334.086,43581.5,3299.643,8340.121,12580.849
0.009616874,-11023.857,-12942.575,46976.707,3293.4856,8332.893,12609.307
0.010217373,-13837.972,-14849.494,47675.04,3286.281,8324.734,12637.263
0.010796344,-16181.522,-15793.733,46236.527,3277.4258,8315.745,12664.4795
0.011379215,-16458.205,-15779.395,45004.0,3267.753,8306.454,12691.314
0.011973861,-16540.756,-15861.738,44346.496,3257.8716,8296.964,12718.003
0.012574847,-17522.268,-15848.553,44394.47,3247.7786,8287.465,12744.609
0.013171388,-18679.908,-15646.765,43809.023,3236.918,8278.067,12770.948
0.013769835,-20145.895,-15617.109,42954.04,3225.402,8268.665,12797.006
0.01437046,-30582.041,-15692.835,42321.145,3211.5007,8259.494,12821.959
0.0149207,-41010.496,-14546.123,32051.19,3191.1084,8251.431,12842.432
0.0,-14944.611,-22161.795,-19162.385,3412.07,8351.595,12155.245
0.00091216026,-17119.244,-25835.848,-21990.02,3398.613,8331.424,12137.58
0.001701601,-20010.291,-29330.527,-22761.836,3384.7854,8310.768,12120.784
0.0024129106,-22123.445,-31055.645,-23019.53,3370.1624,8289.809,12105.071
0.0030864645,-23714.857,-32049.39,-23835.242,3355.0317,8268.992,12089.652
0.0037323092,-24886.627,-32488.549,-24728.506,3339.5437,8248.442,12074.231
0.004359717,-25561.666,-33156.336,-25612.557,3323.8733,8228.185,12058.609
0.004970977,-26309.035,-34311.87,-24885.133,3308.224,8207.768,12043.174
0.005572333,-26680.305,-35032.035,-24262.035,3292.2505,8186.978,12028.591
0.006169033,-24701.604,-33393.594,-23413.125,3276.475,8165.988,12014.081
0.0067982143,-25298.023,-34020.42,-24491.082,3261.1035,8145.058,11999.059
0.0074109454,-27544.615,-34065.316,-24495.66,3245.2324,8124.3433,11984.26
0.008008656,-33206.523,-31272.734,-24496.781,3227.7136,8104.738,11969.8125
0.008588076,-47221.305,-23595.623,-21268.871,3206.0903,8089.004,11956.216
0.0,-17915.889,-12946.2,19550.555,3488.9297,8436.942,12266.46
0.0010166237,-17310.936,-10433.754,23798.635,3471.5688,8425.445,12288.057
0.0019774386,-17808.248,-9337.539,27334.207,3455.4546,8416.518,12311.734
0.0028615207,-18376.32,-9476.147,29999.81,3440.0266,8408.624,12336.223
0.0036849154,-18872.455,-10649.552,32360.547,3425.196,8400.705,12361.069
0.0044552134,-19292.576,-12561.01,34482.746,3410.9521,8392.09,12386.026
0.0051787794,-19311.15,-14320.27,35976.805,3397.282,8382.525,12410.96
0.005872095,-18912.629,-15104.961,37516.66,3384.2178,8372.363,12435.98
0.006544034,-17880.998,-14374.8125,39506.13,3371.9446,8362.461,12461.502
0.0072007077,-16601.783,-12998.54,42611.656,3360.82,8353.626,12487.925
0.007831716,-15357.219,-11874.369,46192.523,3350.9993,8346.016,12515.231
0.008430448,-14312.291,-11295.976,50105.555,3342.4084,8339.333,12543.1875
0.008993091,-13973.91,-11831.526,54263.824,3334.8052,8333.168,12571.545
0.009516928,-15080.569,-14027.913,57969.54,3327.5647,8326.717,12599.935
0.010004576,-17234.424,-16790.762,60510.234,3319.9558,8319.43,12628.023
0.010465274,-19411.781,-19217.053,60957.293,3311.6372,8311.234,12655.658
0.010914393,-20769.998,-20375.584,59598.113,3302.547,8302.25,12682.799
0.011366737,-21465.592,-20612.969,58186.957,3292.9097,8292.886,12709.621
0.011825763,-22235.264,-20519.842,57514.62,3282.846,8283.39,12736.24
0.012287389,-23047.836,-20358.73,57079.99,3272.3835,8273.957,12762.727
0.012750089,-24200.555,-20391.541,56261.84,3261.4817,8264.518,12789.033
0.013214835,-26778.701,-20119.008,53888.426,3249.6467,8254.997,12814.904
0.013687653,-31246.592,-18531.416,47312.22,3235.705,8245.527,12839.723
0.01419058,-35672.71,-16070.25,37746.965,3218.103,8236.389,12862.231
0.014742399,-35219.664,-13445.126,27761.998,3196.7693,8227.679,12881.441
0.0,-20295.5,-26696.879,-9497.066,3446.9124,8440.132,12137.939
0.000860725,-19767.605,-28556.01,-15248.33,3430.4424,8417.3125,12127.546
0.0016516473,-20395.217,-31868.512,-20078.605,3415.5847,8394.883,12114.274
0.0023520319,-21864.61,-35807.55,-23712.166,3401.734,8372.604,12099.721
0.0029745365,-24530.264,-40135.66,-26395.469,3388.193,8350.287,12084.935
0.003530729,-27996.602,-43637.184,-28424.133,3374.3088,8328.016,12070.401
0.0040381155,-31371.635,-45583.21,-30555.5,3359.7522,8306.091,12056.0
0.0045127156,-33810.914,-45937.094,-32608.754,3344.5586,8284.801,12041.308
0.004969324,-35152.156,-46070.125,-33878.062,3328.9636,8264.057,12026.258
0.005416247,-35694.18,-45984.152,-34239.34,3313.182,8243.569,12011.053
0.005860463,-35525.074,-45688.926,-33446.81,3297.2617,8223.142,11995.911
0.006309265,-34448.34,-45758.332,-32299.143,3281.3818,8202.482,11981.045
0.0067655025,-34161.086,-47049.44,-32076.75,3265.8618,8181.3784,11966.424
0.0072172796,-36464.504,-48293.605,-32114.078,3250.3093,8160.0884,11952.111
0.0076551894,-43858.027,-47753.074,-31358.28,3233.4817,8139.352,11938.443
0.008071726,-58035.746,-39316.92,-25521.355,3212.7957,8121.062,11926.714
0.008473866,-65252.863,-27464.338,-18865.734,3187.2817,8107.894,11918.016
0.0,-1350.8052,-2808.6777,-1562.959,3374.7334,8449.921,12120.551
0.00860444,-1333.2423,-2773.8342,-1813.4768,3362.4727,8426.7295,12105.997
0.017002698,-1465.1764,-3171.408,-1855.8099,3351.223,8402.366,12092.584
0.02458644,-1484.2378,-3666.252,-2296.1748,3341.6921,8378.043,12077.836
0.031145986,-2198.1619,-4269.3853,-2568.3547,3330.76,8354.241,12063.207
0.036654886,-2823.1833,-3956.7202,-2690.3086,3316.2705,8331.876,12049.429
0.042054925,-2688.6895,-3813.2754,-2712.1562,3301.3376,8311.142,12033.709
0.04761373,-2746.5994,-4194.043,-2764.0571,3286.212,8289.606,12019.306
0.05285405,-2814.0706,-3205.4587,-3038.124,3268.999,8270.665,12003.656
0.05858273,-2017.3488,-2665.265,-1587.3499,3251.8982,8251.142,11988.609
0.066689946,-1767.2561,-2258.118,-1724.1239,3234.7852,8230.959,11974.475
0.0,-23074.635,-33627.484,-23810.578,3353.0984,8300.946,12090.382
0.0006352582,-24657.174,-34223.066,-24979.09,3338.1865,8279.784,12075.223
0.0012472293,-26147.33,-34434.14,-26022.824,3322.8706,8259.083,12059.832
0.0018417166,-26729.273,-34767.164,-26624.578,3307.2441,8238.75,12044.264
0.0024264688,-28111.129,-36284.11,-26138.97,3291.459,8218.297,12029.016
0.0029944289,-26549.047,-34657.254,-24250.861,3275.4236,8197.585,12014.39
0.0035951403,-25579.674,-34954.258,-24649.47,3259.7563,8176.6313,11999.711
0.004197104,-26676.256,-36035.27,-25290.703,3244.3767,8155.5825,11984.865
0.0047798995,-30493.58,-36519.207,-26354.873,3228.444,8134.7837,11970.251
0.0053314883,-44330.707,-31921.521,-27149.844,3209.8606,8116.103,11955.909
0.0058232713,-58126.492,-19505.885,-20507.006,3184.547,8103.9453,11945.354
0.0,-4335.8296,-2071.834,7424.63,3426.178,8335.116,12380.682
0.003392115,-4085.6147,-3313.1316,7147.013,3411.659,8325.928,12405.273
0.006772756,-3593.1135,-2869.3027,6999.212,3398.7776,8314.649,12429.908
0.010355057,-3497.3284,-2759.477,8040.103,3385.918,8306.188,12455.658
0.013618834,-3225.7156,-1846.8156,8621.753,3374.8904,8298.333,12482.429
0.016814113,-2617.294,-1504.3474,8645.231,3365.2866,8291.643,12510.052
0.020090243,-2008.6398,-1003.1313,7702.5864,3356.3735,8284.761,12537.858
0.023829427,-2589.754,-1091.1617,9691.816,3349.6445,8282.894,12567.034
0.026802367,-2408.9172,-1434.8948,8853.279,3342.5933,8276.875,12595.565
0.0300328,-2382.9053,-1418.8441,8256.5625,3334.261,8269.762,12623.494
0.03347716,-2257.3384,-2473.2834,6818.447,3325.2368,8260.702,12650.632
0.037426446,-3010.728,-2296.9517,7397.2754,3314.938,8252.572,12677.61
0.04103645,-2527.508,-2908.2305,7070.6475,3304.2527,8242.3955,12703.73
0.044762075,-2977.669,-2749.6052,7698.4214,3293.6865,8232.649,12730.0625
0.048210293,-4061.2563,-3940.4072,10001.595,3283.0151,8226.01,12757.303
0.05082094,-4609.709,-3382.9727,9764.173,3271.7485,8216.086,12783.275
0.053472247,-3994.509,-3331.7014,8709.571,3260.0579,8205.522,12808.805
0.056429487,-5281.891,-3830.6948,8421.139,3246.7917,8196.08,12834.001
0.05924557,-5256.4087,-3623.7615,6774.313,3231.3162,8184.2207,12856.802
0.062468346,-4907.0317,-2414.7637,5497.5063,3212.681,8173.9595,12877.954
0.06633706,-6280.334,-1974.7413,4459.914,3192.6152,8166.635,12899.019
0.0,-5934.406,-5879.1787,11907.882,3340.0022,8437.126,12421.078
0.0020624546,-5930.4775,-5798.381,12965.791,3328.216,8424.83,12445.774
0.0040115607,-5581.3975,-4961.2573,13621.571,3316.8296,8414.752,12471.635
0.005942776,-4697.315,-4697.6167,14426.841,3306.9194,8405.638,12498.444
0.007831601,-4341.959,-4719.447,15666.649,3298.85,8396.711,12525.925
0.009603774,-3516.2131,-4493.13,16887.023,3292.0925,8388.988,12554.115
0.011286822,-3307.114,-5236.4297,18243.5,3286.4988,8381.101,12582.514
0.012843962,-4307.705,-6054.865,20089.684,3280.9768,8372.914,12610.842
0.014244528,-5695.521,-6635.7905,21172.215,3274.4539,8364.146,12638.781
0.015554165,-7006.0938,-8055.6646,21086.99,3266.6274,8354.437,12666.066
0.016823437,-7985.1377,-6950.2456,20633.633,3257.0535,8344.756,12692.799
0.018117052,-7573.0747,-6772.4463,19609.178,3246.3174,8336.236,12719.484
0.019475454,-7518.731,-7093.5767,19651.955,3236.1426,8327.062,12746.174
0.020826519,-8288.363,-7463.8154,19052.443,3225.369,8317.237,12772.393
0.022185389,-8627.073,-7275.82,18463.207,3213.9678,8307.332,12798.313
0.023571763,-11322.869,-9625.278,18092.709,3201.269,8296.402,12823.199
0.024853066,-26569.732,-16705.5,15089.131,3183.783,8283.341,12843.78
0.0,-1901.7014,-2450.1638,-1664.3411,3442.5989,8242.799,12094.252
0.008522933,-2383.4746,-2269.5813,-1833.3458,3424.8765,8223.552,12079.573
0.0,-10457.883,-16314.357,-6068.9316,3421.6104,8448.555,12174.943
0.0014773532,-10648.555,-16932.225,-10099.195,3406.7761,8425.254,12163.238
0.0028162044,-10843.228,-18493.36,-13259.957,3393.2188,8403.009,12148.36
0.0040063374,-11525.407,-20962.92,-15785.368,3380.8325,8381.1045,12132.026
0.005053053,-13062.036,-24552.516,-17709.402,3368.9941,8358.915,12115.671
0.0059629525,-15792.914,-27449.371,-18883.236,3356.7612,8336.494,12099.934
0.0067766034,-18718.686,-28430.77,-19300.068,3343.034,8314.41,12084.973
0.00754327,-19965.082,-28685.22,-20686.871,3328.4873,8292.878,12069.98
0.008281955,-21706.68,-28522.0,-21496.121,3313.341,8272.092,12054.536
0.008999756,-21998.67,-28407.959,-21745.883,3297.5808,8251.793,12039.058
0.0097140735,-22372.969,-28834.87,-21106.004,3281.82,8231.385,12023.726
0.01042565,-22092.111,-28073.816,-19961.822,3265.727,8210.835,12008.936
0.011158737,-20874.957,-28722.316,-20027.143,3249.9607,8189.9614,11994.248
0.0118946545,-21539.08,-30107.5,-20603.137,3234.7136,8168.676,11979.6045
0.012602769,-24743.146,-31365.812,-22397.518,3219.301,8147.5015,11964.973
